model_type,library,optimizer,threshold,dof,dof_name,with_lambda,ate,grade,n_terms
SINDy,Full,SR3_L0,0.215443,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,0.359381,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,0.599484,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,1.0,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,3.162278,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,10.0,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,31.622777,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,0.0001,2,thetaddot,False,2.523989204891472,F,24
SINDy,Full,SR3_L0,0.000251,2,thetaddot,False,2.5284111720512725,F,18
SINDy,Full,SR3_L0,0.000631,2,thetaddot,False,2.5280452063724494,F,9
SINDy,Full,SR3_L0,0.001585,2,thetaddot,False,2.531906935515154,F,6
SINDy,Full,SR3_L0,0.003981,2,thetaddot,False,2.5278752774058613,F,3
SINDy,Full,SR3_L0,0.01,2,thetaddot,False,2.400194996066982,F,1
SINDy,Full,SR3_L0,0.016681,2,thetaddot,False,2.400194996066982,F,1
SINDy,Full,SR3_L0,0.027826,2,thetaddot,False,2.400194996066982,F,1
SINDy,Full,SR3_L0,0.046416,2,thetaddot,False,2.400194996066982,F,1
SINDy,Full,SR3_L0,0.077426,2,thetaddot,False,2.400194996066982,F,1
SINDy,Full,SR3_L0,0.129155,2,thetaddot,False,2.400194996066982,F,1
SINDy,Full,SR3_L0,0.215443,2,thetaddot,False,2.400194996066982,F,1
SINDy,Full,SR3_L0,0.359381,2,thetaddot,False,2.400194996066982,F,1
SINDy,Full,SR3_L0,0.599484,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,SR3_L0,1.0,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,SR3_L0,3.162278,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,SR3_L0,10.0,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,SR3_L0,31.622777,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full+λ,STLSQ,0.0001,0,xddot,True,0.4550671265291195,D,63
SINDy,Full+λ,STLSQ,0.000251,0,xddot,True,0.4550671265291195,D,63
SINDy,Full+λ,STLSQ,0.000631,0,xddot,True,0.45459560286691886,D,61
SINDy,Full+λ,STLSQ,0.001585,0,xddot,True,0.45468935126097154,D,58
SINDy,Full+λ,STLSQ,0.003981,0,xddot,True,0.5733511193510145,F,47
SINDy,Full+λ,STLSQ,0.01,0,xddot,True,0.4442691298809051,D,15
SINDy,Full+λ,STLSQ,0.016681,0,xddot,True,0.4431862871012102,D,15
SINDy,Full+λ,STLSQ,0.027826,0,xddot,True,0.4435748109029128,D,9
SINDy,Full+λ,STLSQ,0.046416,0,xddot,True,0.44269712808755945,D,9
SINDy,Full+λ,STLSQ,0.077426,0,xddot,True,0.4440659767110228,D,3
SINDy,Full+λ,STLSQ,0.129155,0,xddot,True,0.47661722247077726,D,0
SINDy,Full+λ,STLSQ,0.215443,0,xddot,True,0.47661722247077726,D,0
SINDy,Full+λ,STLSQ,0.359381,0,xddot,True,0.47661722247077726,D,0
SINDy,Full+λ,STLSQ,0.599484,0,xddot,True,0.47661722247077726,D,0
SINDy,Full+λ,STLSQ,1.0,0,xddot,True,0.47661722247077726,D,0
SINDy,Full+λ,STLSQ,3.162278,0,xddot,True,0.47661722247077726,D,0
