algorithm,run,library,parsimony,maxsize,dof,n_terms,MSE_train,MSE_val,MSE_test,R2_val,R2_test,ATE,ate_grade,equation
PySR,run_1,Full,0.01,15,a_x,5,39.35036327870543,23.4964559826477,23.580544621934948,0.983090121574689,0.9806675318119515,3.2696506330110497,F,12.3144245*(sin_ez + vy)
PySR,run_1,Full,0.01,15,a_y,5,70.46337543277576,37.6411142810483,40.20403741589376,0.9737455517138689,0.9685923860639137,1.408374701756527,F,-13.114753*(cos_ez + vx)
PySR,run_1,Full,0.01,15,a_z,3,10.937501676799844,6.245044066102374,6.448029119465768,0.6894109267425279,0.5846578723374716,0.2538321684441587,D,ay*0.105510496
PySR,run_2,Full,0.01,15,a_x,7,53.98606225903955,29.392786067642106,42.44840676824019,0.9762966757992583,0.9704900931818038,3.5110507848433468,F,(sin_ez + vy)/0.07717935 - 1*0.3965248
PySR,run_2,Full,0.01,15,a_y,7,51.25658874694182,45.00863060532396,73.93478635892139,0.9619458984253798,0.9424926125737307,1.603022296880493,F,(cos_ez + vx)*(-6.8000503)/0.52881444
PySR,run_2,Full,0.01,15,a_z,3,13.54071496845176,9.630293566161866,19.350961759693604,0.3311511047436252,0.00269811886731941,0.35293496313557,D,ay*0.06849466
PySR,run_3,Full,0.01,15,a_x,5,31.016597889627683,41.94097689790715,138.69037665614007,0.9681583277985224,0.7194048386979566,1.7536107245165649,F,(sin_ez + vy)/0.07802932
PySR,run_3,Full,0.01,15,a_y,9,33.30052599802695,53.84117644367178,121.61096808229729,0.9586867459200812,0.6686601783057897,1.1529909206815112,F,vx + (cos_ez + vx)/(-0.07661073) - 1*(-0.36442545)
PySR,run_3,Full,0.01,15,a_z,3,10.90071078995858,12.764129709938452,17.572447501209993,-1.14412630194846,0.04027823834188671,0.47681422513101884,D,px - vx
PySR,run_4,Full,0.01,15,a_x,5,33.07607379386199,25.519119517665377,83.71040039382366,0.9787566674091445,0.025876022663728127,0.3902264956564945,D,(sin_ez + vy)*12.4225445
PySR,run_4,Full,0.01,15,a_y,7,31.256983685987734,19.144790991955926,57.271714427808035,0.9823736280562082,0.5050820667372848,0.25513625625070263,D,(-cos_ez - vx + 0.029063877)/0.0860657
PySR,run_4,Full,0.01,15,a_z,3,7.25006387432975,6.0519020909141235,3.5954109717284077,0.3291837430793063,0.08450849576765718,0.38952374395850387,D,vy*(-0.6303504)
PySR,run_5,Full,0.01,15,a_x,5,40.88695971298457,33.750491300974836,49.52231262972873,0.9730484121152194,0.9596933073193283,0.9865264120232986,F,(sin_ez + vy)/0.0773862
PySR,run_5,Full,0.01,15,a_y,5,32.35864026034437,17.176715200875194,26.64228727418967,0.9846040813881544,0.9785850563485645,0.5854139054696937,F,(cos_ez + vx)*(-11.953634)
PySR,run_5,Full,0.01,15,a_z,3,8.141459759651951,9.348964629683348,9.006495871778373,0.2613282623927027,0.3624510131958224,0.10845067967678576,C,ax*(-0.090070136)
Hybrid PySR,pooled,Full,0.01,15,a_x,6,47.13772838315896,41.860746655442505,41.274241926228896,0.9681250135045548,0.9707478354176596,27.035102569542925,F,(vy + sin(sin_ez))*12.32097
Hybrid PySR,pooled,Full,0.01,15,a_y,7,53.31393266496856,44.37517051833309,27.323654434385574,0.9627115865904871,0.9795488425313988,50.35880647067477,F,(cos_ez - vx/(-1.0179548))*(-12.392178)
Hybrid PySR,pooled,Full,0.01,15,a_z,3,12.600291018486745,17.222039121897705,31.91702420307337,-0.7097216767868699,-0.8901624801849564,0.8386209558083163,F,px - vx
PySR,run_1,Full,0.01,25,a_x,7,39.372101943534204,23.355407893877764,23.398613918835053,0.9831916307569667,0.9808166873800903,3.269753220324961,F,(sin_ez + vy)/(0.16322486*0.49803072)
PySR,run_1,Full,0.01,25,a_y,11,60.21604353441418,35.579708258021164,32.83496253874768,0.9751833698779165,0.9743491476650762,1.1323666731137012,F,(az - (-(-14.189954)*cos_ez + vx/0.08269758))/cos_ey
PySR,run_1,Full,0.01,25,a_z,3,13.199111695441449,6.156061608653036,7.02082564247045,0.6938363525206059,0.5477618654841133,0.05620308989448131,C,px - vx
PySR,run_2,Full,0.01,25,a_x,7,53.96550758843477,27.506583160242585,42.00785429178853,0.9778177728099188,0.970796362922376,2.5133663187673836,F,(sin_ez + vy)*1490.414/115.83658
PySR,run_2,Full,0.01,25,a_y,3,106.677350764686,70.69753728903373,78.04916387746445,0.9402263248428145,0.9392923990662735,0.2033277111524238,D,vx*(-10.822877)
PySR,run_2,Full,0.01,25,a_z,3,14.367925988206581,10.617752953263746,19.934501178365366,0.26256948616303444,-0.027376094868589274,0.3129919291728249,D,vx*(-0.7611936)
PySR,run_3,Full,0.01,25,a_x,5,32.90447418593214,51.90089546571013,146.2326866312492,0.9605967380205499,0.70414541165564,1.7164302820718753,F,(sin_ez + vy)/0.07500026
PySR,run_3,Full,0.01,25,a_y,11,31.82952096275753,45.54002584917422,146.99844070746116,0.9650563605221123,0.599489767235664,0.5974046045016363,F,(az + (-cos_ez - vx + 0.0004807543)/0.07392883)/1.221199
PySR,run_3,Full,0.01,25,a_z,3,10.90071078995858,12.764129709938452,17.572447501209993,-1.14412630194846,0.04027823834188671,0.47681422513101884,D,px - vx
PySR,run_4,Full,0.01,25,a_x,5,33.077987830009356,25.387219103306794,83.49975149793143,0.978866467606959,0.028327308756288527,0.39470613031664115,D,(sin_ez + vy)/0.08061192
PySR,run_4,Full,0.01,25,a_y,7,36.27862261103218,25.019706093827036,66.82232955332627,0.9769646664871167,0.4225496902136645,2.23459204772804,F,(-cos_ez - vx + vz)*10.930656
PySR,run_4,Full,0.01,25,a_z,3,7.249316497194986,6.076013183327007,3.5940948814330027,0.32651117625325643,0.08484360891431009,0.38762883877234283,D,vy*(-0.64034325)
PySR,run_5,Full,0.01,25,a_x,5,40.84232828765195,31.231066856798474,46.972471648749185,0.9750603084375796,0.9617686477335243,1.0084550766611924,F,(sin_ez + vy)/0.07839671
PySR,run_5,Full,0.01,25,a_y,13,32.388028254814635,16.624388914372854,26.654823226213157,0.9850991452263054,0.9785749800100191,0.9339991703717537,F,(py*(-0.34826368)/(-1.3988283) - 1.642709*(cos_ez + vx))*7.3528233
PySR,run_5,Full,0.01,25,a_z,3,8.583951242587693,10.202687888028814,10.220782263019956,0.19387467072164621,0.27649449143112526,0.14571397142027195,C,vy*(-0.93077713)
Hybrid PySR,pooled,Full,0.01,25,a_x,7,62.62880746009856,47.90486472316016,55.47479162774819,0.9635227023376963,0.9606835241755295,37.50594057283094,F,(sin_ez + vy + vy)*5.7455664
Hybrid PySR,pooled,Full,0.01,25,a_y,7,55.91062707048772,42.21953019078681,26.327580806509985,0.9645229690991481,0.9802943818465341,50.822550680453325,F,cos_ez/(-0.0775931) - 11.801376*vx
Hybrid PySR,pooled,Full,0.01,25,a_z,21,7.60043007777163,12.941914594976746,27.662861353815718,-0.2848113841537896,-0.6382261169732113,8.447362304767232,F,(ay - (-3.603777)*wy*wy - (alphax + vy - (-alphax - vy - 14.676622)) - 0.3122591)*0.08848624
PySR,run_1,Full,0.01,35,a_x,9,41.17141958738291,22.25183924314614,21.509468637975154,0.9839858446474206,0.9823654998282495,3.132295374575652,F,(sin_ez + vy*0.10647753 + vy)/0.09264876
PySR,run_1,Full,0.01,35,a_y,9,70.88593550319777,32.79900689745387,32.080776740928144,0.9771228921653039,0.9749383217355547,3.5765530767859395,F,cos_ey - 12.994656*cos_ez - vx/0.07915118
PySR,run_1,Full,0.01,35,a_z,30,5.159265611791116,4.42009237589424,4.13851513040012,0.7801725047557246,0.7334224694434435,0.11159794066902605,C,(wy*5.478938/(-2.360811) + (alphax - ay)/2.6023536 - (wy + wy) - (wy - (alphax - 1*(-4.7172008)) - 2.5215282)/cos(px))*(-0.2588787) - 0.024243833
PySR,run_2,Full,0.01,35,a_x,5,53.72824750224826,29.97552341244389,43.207705802951395,0.9758267369450127,0.9699622325277206,2.6893829176861823,F,(sin_ez + vy)/0.07676066
